2022-01-26T12:39:38-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.191
2022-01-26T12:39:38-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.856
2022-01-26T12:39:38-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.148
2022-01-26T12:39:39-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 3.505
2022-01-26T12:39:39-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 4.611
2022-01-26T12:39:39-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.989
2022-01-26T12:39:40-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.068
2022-01-26T12:39:40-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 4.790
2022-01-26T12:39:40-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.368
2022-01-26T12:39:41-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.539
2022-01-26T12:39:41-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 5.861
2022-01-26T12:39:41-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.569
2022-01-26T12:39:41-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 9.775
2022-01-26T12:39:41-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 1062.367
2022-01-26T12:39:41-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.749
2022-01-26T12:39:41-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.968
2022-01-26T12:39:41-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.876
2022-01-26T12:39:43-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.353
2022-01-26T12:40:51-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.417
2022-01-26T12:40:51-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 5.511
2022-01-26T12:40:51-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.096
2022-01-26T12:40:51-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.880
2022-01-26T12:40:51-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.727
2022-01-26T12:40:51-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.586
2022-01-26T12:40:51-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.518
2022-01-26T12:40:52-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.080
2022-01-26T12:40:52-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.036
2022-01-26T12:40:52-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.876
2022-01-26T12:40:52-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.182
2022-01-26T12:40:52-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.112
2022-01-26T12:40:52-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 5.292
2022-01-26T12:40:52-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.909
2022-01-26T12:40:52-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 3.261
2022-01-26T12:40:52-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 4.441
2022-01-26T12:40:52-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.509
2022-01-26T12:40:53-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 928.134
2022-01-26T12:40:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.737
2022-01-26T12:40:54-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.896
2022-01-26T12:40:54-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.385
2022-01-26T12:40:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.664
2022-01-26T12:40:54-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.929
2022-01-26T12:40:54-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.116
2022-01-26T12:40:54-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.880
2022-01-26T12:40:55-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 2.388
2022-01-26T12:40:55-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.460
2022-01-26T12:40:55-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.637
2022-01-26T12:40:55-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.662
2022-01-26T12:40:55-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.787
2022-01-26T12:40:55-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.871
2022-01-26T12:40:56-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 841.180
2022-01-26T12:40:56-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 3.946
2022-01-26T12:40:56-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.307
2022-01-26T12:40:57-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 857.229
2022-01-26T12:40:57-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.534
2022-01-26T12:40:57-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.871
2022-01-26T12:40:57-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.052
2022-01-26T12:40:57-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.534
2022-01-26T12:41:02-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.082
2022-01-26T12:41:02-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 5.383
2022-01-26T12:41:02-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.322
2022-01-26T12:41:03-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 1008.274
2022-01-26T12:41:03-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.732
2022-01-26T12:41:03-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.802
2022-01-26T12:41:03-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.629
2022-01-26T12:41:03-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.037
2022-01-26T12:41:04-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 4.174
2022-01-26T12:41:04-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.767
2022-01-26T12:41:05-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 816.250
2022-01-26T12:41:06-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 14.660
2022-01-26T12:41:06-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 15.875
2022-01-26T12:41:06-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 16.661
2022-01-26T12:41:07-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.530
2022-01-26T12:41:07-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 5.497
2022-01-26T12:41:07-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.920
2022-01-26T12:41:07-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 9.689
2022-01-26T12:42:12-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.072
2022-01-26T12:42:12-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 4.699
2022-01-26T12:42:12-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.743
2022-01-26T12:42:13-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 3.147
2022-01-26T12:42:13-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 4.372
2022-01-26T12:42:13-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.197
2022-01-26T12:42:13-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 1054.481
2022-01-26T12:42:16-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.776
2022-01-26T12:42:16-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.925
2022-01-26T12:42:16-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.961
2022-01-26T12:42:16-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.587
2022-01-26T12:42:16-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.705
2022-01-26T12:42:16-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 11.221
2022-01-26T12:42:16-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 14.930
2022-01-26T12:42:17-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 3.979
2022-01-26T12:42:17-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.496
